timestamp,height,area_3d,leaf_area_index,leaf_inclination,digital_biomass,leaf_angle,proj_area,light_pen_depth,ndvi_aver,greenness_aver,hue_aver,npci_aver,psri_aver,Genotype
06/06/2021 11:31,216391,55796605,555,133222,12073903,48643,37538379,158844,66416,39101,10621817,18025,5828,Tequila
06/06/2021 11:31,220943,40015621,398,14191,8841186,44802,25971965,161557,70305,40516,10868292,15422,4455,Tequila
06/06/2021 11:31,231166,32982941,328,124442,7624535,53473,22111025,156928,75123,23691,11660419,3553,128,cgn16951
06/06/2021 11:31,221115,17218934,171,126799,380736025,52058,12574154,154843,73749,22062,11568675,2018,733,cgn16951
06/06/2021 11:31,258597,29699057,296,152838,7680081,40864,15861098,217763,75087,29387,11795182,3557,679,gpc020720
06/06/2021 11:31,255579,4080166,406,174515,10428037,34959,22385824,174349,74858,39355,11440641,8412,1617,gpc020720
06/06/2021 11:31,295781,42856723,426,16239,12676210,38009,25415123,230239,69518,38671,11017854,14184,3659,gpc017640
06/06/2021 11:31,214331,28117143,28,122041,6026377,55023,20369359,146911,70884,34985,11245998,8358,2893,gpc017640
06/06/2021 11:31,203988,23554664,234,125491,48048785,52831,15890395,149664,71164,36246,11089597,10828,3391,y24
06/06/2021 11:31,261685,39089266,389,15577,10229091,39938,23458637,211981,73015,38509,11291079,10162,2404,y24
06/06/2021 11:31,245217,27619598,275,150612,6772803,41601,17041824,166277,72006,38534,11196571,11228,2776,yolo wonder
06/06/2021 11:31,226454,10379526,103,170781,235048375,3584,4999853,151239,72776,40218,11420806,9891,1724,yolo wonder
06/06/2021 11:31,25949,43478406,433,16657,11282211,36893,23855189,214519,65711,38405,10649068,18075,577,y19
06/06/2021 11:31,260603,52440992,522,156728,13666288,39645,31747719,21817,67096,39099,10708255,18501,5348,y19
06/06/2021 11:31,20242,44706828,445,12748,9049536,51667,31022588,142608,62363,35672,10423673,18712,7109,y18
06/06/2021 11:31,216624,43687336,435,133648,9463737,48436,29222801,16809,6226,36067,10334527,20458,7718,y18
06/06/2021 11:31,140917,19534826,194,129961,27527985,50305,12893241,120584,68189,33391,1108465,10859,3851,y12
06/06/2021 11:31,138987,10429384,104,122312,144955325,54843,7106314,116492,75442,32312,11561893,299,1378,y12
